Date,Content,Video title,Video publish time,Duration,Subscribers gained
2025-12-05,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,1
2025-12-06,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-07,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-08,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,1
2025-12-09,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,1
2025-12-10,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-11,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-12,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-13,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-14,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-15,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-16,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-17,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-18,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-19,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-20,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-21,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-22,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-23,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-24,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-25,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-26,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-27,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-28,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-29,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-30,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-31,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-01,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-02,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-03,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-04,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-05,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-06,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-07,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-08,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-09,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-10,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-11,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-12,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-13,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-14,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-15,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-16,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-17,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-18,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-19,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-20,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-21,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-22,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-23,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-24,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-25,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-26,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-27,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-28,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-29,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-30,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-01-31,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-02-01,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-02-02,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-02-03,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-02-04,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-02-05,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-02-06,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-02-07,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-02-08,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-02-09,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-02-10,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-02-11,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-02-12,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-02-13,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-02-14,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-02-15,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2026-02-16,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-10-26,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-10-27,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-10-28,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-10-29,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-10-30,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-10-31,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-01,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-02,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-03,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-04,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-05,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-06,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-07,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-08,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-09,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-10,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-11,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-12,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-13,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-14,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-15,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-16,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-17,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-18,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-19,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-20,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,2
2025-11-21,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-22,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,16
2025-11-23,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,18
2025-11-24,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,3
2025-11-25,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,1
2025-11-26,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-27,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-28,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-29,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-11-30,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-01,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,1
2025-12-02,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-03,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-04,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-05,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-06,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-07,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-08,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-09,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-10,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-11,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-12,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-13,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-14,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-15,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-16,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-17,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-18,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-19,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-20,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-21,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-22,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-23,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-24,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-25,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-26,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-27,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-28,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-29,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-30,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-12-31,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-01,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-02,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-03,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-04,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-05,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-06,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-07,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-08,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-09,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-10,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-11,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-12,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-13,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-14,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-15,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-16,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-17,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-18,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-19,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-20,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-21,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-22,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-23,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-24,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-25,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-26,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-27,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-28,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-29,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-30,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-01-31,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-02-01,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-02-02,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-02-03,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-02-04,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-02-05,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-02-06,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-02-07,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-02-08,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-02-09,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-02-10,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-02-11,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-02-12,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-02-13,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-02-14,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-02-15,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2026-02-16,H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6,0
2025-10-26,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-10-27,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-10-28,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-10-29,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-10-30,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-10-31,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-01,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-02,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-03,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-04,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-05,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-06,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-07,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-08,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-09,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-10,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-11,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-12,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-13,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-14,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-15,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-16,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-17,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-18,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-19,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-20,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-21,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-22,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-23,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-24,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-25,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-26,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-27,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-28,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-29,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-11-30,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-12-01,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-12-02,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-12-03,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-12-04,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-12-05,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-12-06,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-12-07,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-12-08,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-12-09,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
2025-12-10,NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8,0
